Temp,1,2,3
21.781,0.00E+00,-5.37E-03,3.19655
22.781,0.90404,0.11315,3.20116
23.781,1.07944,0.19698,3.20575
24.781,1.23617,0.22339,3.21033
25.781,1.39375,0.2179,3.21488
26.781,1.55654,0.20366,3.21941
27.781,1.72372,0.19035,3.22392
28.781,1.89488,0.17816,3.22841
29.781,2.06947,0.16695,3.23288
30.781,2.2475,0.15595,3.23733
31.781,2.42882,0.14419,3.24175
32.781,2.61305,0.13532,3.24616
33.781,2.79989,0.12545,3.25054
34.781,2.98898,0.1168,3.25491
35.781,3.18033,0.10754,3.25925
36.781,3.37356,9.91E-02,3.26357
37.781,3.56834,9.15E-02,3.26786
38.781,3.76479,8.33E-02,3.27214
39.781,3.96233,7.64E-02,3.27639
40.781,4.16038,6.91E-02,3.28063
41.781,4.35922,6.21E-02,3.28484
42.781,4.55902,5.46E-02,3.28902
43.781,4.75942,4.86E-02,3.29319
44.781,4.96006,4.21E-02,3.29733
45.781,5.16106,3.57E-02,3.30145
46.781,5.36221,3.03E-02,3.30555
47.781,5.56358,2.63E-02,3.30962
48.781,5.76528,2.18E-02,3.31367
49.781,5.96693,1.80E-02,3.3177
50.781,6.16817,1.56E-02,3.32171
51.781,6.36951,1.35E-02,3.32569
52.781,6.57129,1.21E-02,3.32965
53.781,6.77287,1.14E-02,3.33359
54.781,6.97439,9.53E-03,3.3375
55.781,7.17588,7.66E-03,3.34139
56.781,7.37717,5.76E-03,3.34525
57.781,7.57833,4.15E-03,3.3491
58.781,7.77962,2.97E-03,3.35291
59.781,7.98102,5.84E-04,3.35671
60.781,8.18194,-6.08E-04,3.36048
61.781,8.38299,-3.00E-03,3.36422
62.781,8.58436,-5.63E-03,3.36795
63.781,8.78534,-6.87E-03,3.37164
64.781,8.98625,-8.64E-03,3.37532
65.781,9.18718,-1.04E-02,3.37897
66.781,9.38789,-1.15E-02,3.38259
67.781,9.58846,-1.39E-02,3.38619
68.781,9.78908,-1.52E-02,3.38977
69.781,9.9897,-1.67E-02,3.39332
70.781,10.19016,-1.84E-02,3.39684
71.781,10.39063,-2.03E-02,3.40034
72.781,10.59126,-2.19E-02,3.40382
73.781,10.79161,-2.36E-02,3.40727
74.781,10.99186,-2.45E-02,3.41069
75.781,11.19223,-2.69E-02,3.41409
76.781,11.39256,-2.90E-02,3.41747
77.781,11.59278,-3.05E-02,3.42082
78.781,11.79308,-3.61E-02,3.42414
79.781,11.99323,-3.30E-02,3.42744
80.781,12.19341,-3.54E-02,3.43071
81.781,12.39384,-3.75E-02,3.43396
82.781,12.5941,-3.94E-02,3.43718
83.781,12.79421,-4.07E-02,3.44037
84.781,12.99427,-4.28E-02,3.44354
85.781,13.1943,-4.43E-02,3.44669
86.781,13.3944,-4.68E-02,3.4498
87.781,13.59455,-4.86E-02,3.45289
88.781,13.7946,-5.03E-02,3.45596
89.781,13.99455,-5.16E-02,3.459
90.781,14.19466,-5.39E-02,3.46201
91.781,14.3949,-5.60E-02,3.46499
92.781,14.59487,-5.74E-02,3.46795
93.781,14.79485,-5.94E-02,3.47088
94.781,14.99502,-6.14E-02,3.47379
95.781,15.19487,-6.31E-02,3.47666
96.781,15.39461,-6.52E-02,3.47951
97.781,15.59464,-6.72E-02,3.48234
98.781,15.79469,-6.91E-02,3.48514
99.781,15.99466,-7.12E-02,3.48791
100.781,16.19459,-7.30E-02,3.49065
101.781,16.39472,-7.55E-02,3.49336
102.781,16.59486,-7.72E-02,3.49605
103.781,16.79471,-7.95E-02,3.49871
104.781,16.99446,-8.15E-02,3.50135
105.781,17.19428,-8.35E-02,3.50395
106.781,17.39412,-8.55E-02,3.50653
107.781,17.59403,-8.71E-02,3.50908
108.781,17.79392,-8.94E-02,3.5116
109.781,17.99385,-9.13E-02,3.5141
110.781,18.19376,-9.36E-02,3.51657
111.781,18.39368,-9.54E-02,3.51901
112.781,18.59361,-9.75E-02,3.52142
113.781,18.79359,-9.99E-02,3.5238
114.781,18.99358,-0.10209,3.52616
115.781,19.19354,-0.10323,3.52848
116.781,19.39357,-0.10475,3.53078
117.781,19.59368,-0.10805,3.53305
118.781,19.7937,-0.10996,3.5353
119.781,19.99355,-0.11146,3.53751
120.781,20.1934,-0.114,3.5397
121.781,20.39347,-0.11716,3.54186
122.781,20.59349,-0.11868,3.54398
123.781,20.79334,-0.12107,3.54608
124.781,20.9933,-0.12309,3.54816
125.781,21.19322,-0.12497,3.5502
126.781,21.39306,-0.12674,3.55221
127.781,21.59304,-0.129,3.5542
128.781,21.79315,-0.13089,3.55616
129.781,21.99317,-0.1329,3.55808
130.781,22.19329,-0.13467,3.55998
131.781,22.39331,-0.13705,3.56185
132.781,22.59305,-0.13843,3.5637
133.781,22.79277,-0.14093,3.56551
134.781,22.99276,-0.14331,3.56729
135.781,23.19286,-0.14479,3.56904
136.781,23.39268,-0.14921,3.57077
137.781,23.59262,-0.15041,3.57246
138.781,23.79279,-0.1527,3.57413
139.781,23.99254,-0.15457,3.57577
140.781,24.1923,-0.1578,3.57737
141.781,24.39213,-0.16009,3.57895
142.781,24.59192,-0.16188,3.5805
143.781,24.79208,-0.16385,3.58202
144.781,24.99227,-0.16604,3.58351
145.781,25.19243,-0.16847,3.58497
146.781,25.39265,-0.17097,3.5864
147.781,25.59273,-0.17282,3.5878
148.781,25.79279,-0.17606,3.58917
149.781,25.99283,-0.17881,3.59051
150.781,26.19269,-0.18096,3.59183
151.781,26.39259,-0.18358,3.59311
152.781,26.59233,-0.18613,3.59436
153.781,26.79202,-0.18835,3.59558
154.781,26.9917,-0.19,3.59677
155.781,27.19147,-0.1927,3.59794
156.781,27.39139,-0.19477,3.59907
157.781,27.59115,-0.19636,3.60017
158.781,27.79107,-0.19855,3.60125
159.781,27.99107,-0.20194,3.60229
160.781,28.19095,-0.20396,3.6033
161.781,28.39088,-0.20676,3.60428
162.781,28.59086,-0.2095,3.60524
163.781,28.79095,-0.21205,3.60616
164.781,28.99081,-0.214,3.60705
165.781,29.19089,-0.21631,3.60791
166.781,29.39092,-0.21921,3.60875
167.781,29.59073,-0.22142,3.60955
168.781,29.79083,-0.22455,3.61032
169.781,29.99086,-0.22707,3.61106
170.781,30.19027,-0.22839,3.61177
171.781,30.38994,-0.23117,3.61245
172.781,30.59031,-0.2338,3.6131
173.781,30.79059,-0.236,3.61372
174.781,30.99058,-0.23825,3.61431
175.781,31.1904,-0.24098,3.61487
176.781,31.39019,-0.2426,3.6154
177.781,31.59025,-0.2451,3.6159
178.781,31.79044,-0.24822,3.61637
179.781,31.99029,-0.25004,3.61681
180.781,32.18993,-0.25262,3.61722
181.781,32.38964,-0.25563,3.61759
182.781,32.58948,-0.25789,3.61794
183.781,32.78939,-0.26039,3.61826
184.781,32.98948,-0.2629,3.61854
185.781,33.18969,-0.2657,3.6188
186.781,33.38992,-0.26721,3.61902
187.781,33.59007,-0.26998,3.61922
188.781,33.78985,-0.27141,3.61938
189.781,33.98952,-0.27406,3.61952
190.781,34.18948,-0.27672,3.61962
191.781,34.38963,-0.27925,3.61969
192.781,34.58961,-0.28159,3.61973
193.781,34.78939,-0.28382,3.61975
194.781,34.98931,-0.28659,3.61973
195.781,35.18935,-0.28911,3.61968
196.781,35.3894,-0.29119,3.6196
197.781,35.58955,-0.29438,3.61949
198.781,35.78954,-0.29724,3.61935
199.781,35.98928,-0.29901,3.61918
200.781,36.18923,-0.30241,3.61898
201.781,36.3893,-0.30488,3.61874
202.781,36.58927,-0.3078,3.61848
203.781,36.78936,-0.31067,3.61819
204.781,36.98971,-0.31336,3.61787
205.781,37.18974,-0.31544,3.61751
206.781,37.38938,-0.31808,3.61713
207.781,37.58927,-0.3216,3.61671
208.781,37.78926,-0.32374,3.61627
209.781,37.98872,-0.32592,3.61579
210.781,38.18822,-0.32916,3.61529
211.781,38.38825,-0.33178,3.61475
212.781,38.58809,-0.33404,3.61419
213.781,38.78781,-0.33589,3.61359
214.781,38.98802,-0.33914,3.61296
215.781,39.18814,-0.3416,3.61231
216.781,39.38802,-0.34436,3.61162
217.781,39.58793,-0.34647,3.6109
218.781,39.78783,-0.34867,3.61015
219.781,39.98781,-0.35242,3.60937
220.781,40.1877,-0.35461,3.60856
221.781,40.38769,-0.35722,3.60773
222.781,40.58779,-0.3593,3.60686
223.781,40.78778,-0.36152,3.60596
224.781,40.98775,-0.36451,3.60503
225.781,41.18774,-0.3669,3.60407
226.781,41.38783,-0.36928,3.60308
227.781,41.58779,-0.37219,3.60206
228.781,41.78783,-0.37475,3.60101
229.781,41.98801,-0.37819,3.59993
230.781,42.18791,-0.37968,3.59882
231.781,42.38775,-0.38199,3.59768
232.781,42.5876,-0.3842,3.59651
233.781,42.78766,-0.38816,3.59531
234.781,42.98775,-0.3906,3.59408
235.781,43.18774,-0.39257,3.59282
236.781,43.38772,-0.39523,3.59153
237.781,43.5877,-0.39844,3.59022
238.781,43.78751,-0.3998,3.58887
239.781,43.98743,-0.4029,3.58749
240.781,44.18738,-0.40658,3.58608
241.781,44.38718,-0.40834,3.58464
242.781,44.58754,-0.41199,3.58318
243.781,44.78789,-0.41383,3.58168
244.781,44.98748,-0.41589,3.58015
245.781,45.18687,-0.4179,3.5786
246.781,45.3869,-0.42153,3.57701
247.781,45.58694,-0.42329,3.5754
